latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.0579963,101.53102,42.0,28800,Asia/Kuala_Lumpur,GMT+8

time,precipitation_sum (mm),temperature_2m_mean (°C)
2012-02-27,2.30,25.8
2012-02-28,6.40,25.7
2012-02-29,20.60,25.0
2012-03-01,8.10,25.3
2012-03-02,18.10,25.0
2012-03-03,8.90,24.9
2012-03-04,0.60,26.3
2012-03-05,8.20,25.9
2012-03-06,4.90,25.6
2012-03-07,12.40,25.5
2012-03-08,7.80,24.6
2012-03-09,2.70,25.7
2012-03-10,3.00,25.5
2012-03-11,21.70,25.4
2012-03-12,14.60,24.5
2012-03-13,6.20,25.0
2012-03-14,0.30,25.3
2012-03-15,1.40,25.7
2012-03-16,0.40,26.0
2012-03-17,1.60,26.4
2012-03-18,4.00,26.2
2012-03-19,2.10,26.1
2012-03-20,0.50,26.3
2012-03-21,2.00,26.3
2012-03-22,0.50,26.3
2012-03-23,0.00,26.5
2012-03-24,0.80,26.2
2012-03-25,6.90,26.0
2012-03-26,5.60,25.9
2012-03-27,8.40,25.6
2012-03-28,5.40,25.8
2012-03-29,5.00,26.0
2012-03-30,16.80,25.5
2012-03-31,5.30,25.4
2012-04-01,2.00,26.0
2012-04-02,9.30,25.5
2012-04-03,6.00,25.6
2012-04-04,12.10,25.5
2012-04-05,6.50,25.9
2012-04-06,13.40,25.9
2012-04-07,14.80,25.8
2012-04-08,7.80,25.5
2012-04-09,8.90,25.7
2012-04-10,5.60,25.6
2012-04-11,1.80,26.3
2012-04-12,1.70,26.2
2012-04-13,9.30,26.1
2012-04-14,18.30,25.1
2012-04-15,0.20,25.9
2012-04-16,4.20,25.9
2012-04-17,3.30,26.1
2012-04-18,2.70,26.4
2012-04-19,15.80,25.8
2012-04-20,0.80,26.3
2012-04-21,6.00,26.4
2012-04-22,0.00,26.9
2012-04-23,2.90,27.0
2012-04-24,4.70,26.7
2012-04-25,4.80,26.4
2012-04-26,9.20,26.1
2012-04-27,4.00,26.6
2012-04-28,0.30,27.2
2012-04-29,0.30,27.0
2012-04-30,0.80,27.3
2012-05-01,9.80,26.8
2012-05-02,23.60,25.4
2012-05-03,1.10,26.2
2012-05-04,0.50,26.7
2012-05-05,14.30,26.2
2012-05-06,3.40,26.2
2012-05-07,6.60,25.8
2012-05-08,0.10,26.8
2012-05-09,2.80,26.6
2012-05-10,5.80,26.1
2012-05-11,6.70,26.0
2012-05-12,2.10,26.2
2012-05-13,1.20,26.7
2012-05-14,1.50,26.9
2012-05-15,0.00,27.0
2012-05-16,2.20,27.0
2012-05-17,1.30,26.8
2012-05-18,0.70,27.1
2012-05-19,0.00,27.6
2012-05-20,3.80,26.7
2012-05-21,1.80,26.4
2012-05-22,20.30,26.2
2012-05-23,14.50,26.0
2012-05-24,4.00,26.5
2012-05-25,20.70,26.0
2012-05-26,0.80,26.7
2012-05-27,1.70,26.8
2012-05-28,0.10,27.0
2012-05-29,5.70,26.9
2012-05-30,7.50,26.7
2012-05-31,4.00,26.5
2012-06-01,36.20,25.6
2012-06-02,1.10,26.7
2012-06-03,0.00,27.1
2012-06-04,1.30,27.4
2012-06-05,0.80,27.4
2012-06-06,0.50,27.2
2012-06-07,1.10,27.0
2012-06-08,3.30,27.0
2012-06-09,3.20,26.3
2012-06-10,0.00,27.0
2012-06-11,0.00,27.4
2012-06-12,0.00,27.3
2012-06-13,0.00,27.0
2012-06-14,0.80,26.3
2012-06-15,1.00,26.0
2012-06-16,1.10,26.0
2012-06-17,0.50,26.5
